SA2,SA2 NAME,2016-17Median ($),2017-18Median ($),2018-19Median ($),2019-20Median ($),2020-21Median ($),2016-17Mean ($),2017-18Mean ($),2018-19Mean ($),2019-20Mean ($),2020-21Mean ($)
216021411,Cobram," 42,278 "," 43,115 "," 43,338 "," 43,108 "," 45,882 "," 50,580 "," 49,463 "," 49,876 "," 50,500 "," 52,722 "
216021412,Moira," 34,772 "," 40,771 "," 41,048 "," 42,266 "," 44,886 "," 43,713 "," 48,168 "," 49,200 "," 50,180 "," 50,632 "
216021413,Numurkah," 37,409 "," 39,931 "," 42,225 "," 44,256 "," 46,296 "," 43,305 "," 44,500 "," 45,814 "," 48,394 "," 50,174 "
216021414,Yarrawonga," 38,354 "," 40,572 "," 41,980 "," 43,654 "," 46,794 "," 49,326 "," 48,310 "," 49,614 "," 52,048 "," 54,212 "
216031415,Mooroopna," 42,980 "," 44,321 "," 45,031 "," 45,846 "," 47,533 "," 48,077 "," 47,281 "," 47,960 "," 49,648 "," 52,796 "
216031416,Shepparton - North," 45,198 "," 47,629 "," 49,055 "," 50,636 "," 53,459 "," 55,841 "," 56,416 "," 58,568 "," 61,304 "," 64,090 "
216031418,Shepparton Surrounds - East," 38,220 "," 42,574 "," 43,882 "," 44,524 "," 48,480 "," 46,221 "," 48,205 "," 48,440 "," 50,937 "," 53,540 "
216031419,Shepparton Surrounds - West," 39,336 "," 41,983 "," 44,940 "," 45,328 "," 47,631 "," 47,113 "," 48,457 "," 50,749 "," 52,387 "," 53,804 "
216031593,Kialla," 48,516 "," 50,328 "," 51,065 "," 52,229 "," 55,815 "," 58,539 "," 59,403 "," 60,667 "," 61,759 "," 66,303 "
216031594,Shepparton - South East," 38,032 "," 39,493 "," 40,863 "," 41,832 "," 44,569 "," 44,546 "," 44,407 "," 46,574 "," 47,110 "," 48,954 "
217011420,Glenelg (Vic.)," 41,529 "," 42,273 "," 45,234 "," 44,969 "," 47,178 "," 52,580 "," 50,804 "," 53,286 "," 53,869 "," 57,147 "
217011421,Hamilton (Vic.)," 41,262 "," 42,871 "," 45,492 "," 46,493 "," 48,631 "," 49,716 "," 49,529 "," 52,872 "," 52,540 "," 55,467 "
217011422,Portland," 44,662 "," 46,812 "," 47,803 "," 47,953 "," 49,082 "," 55,419 "," 55,636 "," 57,048 "," 57,138 "," 57,351 "
217011423,Southern Grampians," 40,681 "," 42,664 "," 45,499 "," 43,994 "," 47,256 "," 52,431 "," 57,874 "," 55,536 "," 52,695 "," 56,296 "
217031471,Camperdown," 40,179 "," 42,348 "," 44,698 "," 47,411 "," 48,761 "," 47,668 "," 47,987 "," 50,881 "," 54,519 "," 55,691 "
217031472,Colac," 43,892 "," 45,879 "," 47,628 "," 48,073 "," 51,231 "," 50,121 "," 50,650 "," 52,505 "," 52,833 "," 56,275 "
217031473,Colac Surrounds," 37,746 "," 40,060 "," 41,860 "," 43,952 "," 47,900 "," 45,616 "," 46,633 "," 47,285 "," 49,826 "," 55,647 "
217031474,Corangamite - North," 39,107 "," 42,284 "," 45,668 "," 47,819 "," 47,705 "," 48,476 "," 48,306 "," 55,151 "," 58,426 "," 55,007 "
217031475,Corangamite - South," 35,874 "," 36,852 "," 40,261 "," 43,565 "," 47,533 "," 44,391 "," 44,167 "," 47,926 "," 51,981 "," 55,033 "
217031476,Otway," 32,032 "," 33,929 "," 36,219 "," 36,510 "," 40,447 "," 45,181 "," 44,946 "," 46,521 "," 47,907 "," 54,592 "
217041477,Moyne - East," 41,167 "," 44,000 "," 46,071 "," 47,120 "," 50,203 "," 50,001 "," 50,702 "," 55,875 "," 58,738 "," 59,162 "
217041478,Moyne - West," 41,889 "," 43,136 "," 45,256 "," 46,843 "," 50,360 "," 52,528 "," 52,204 "," 55,540 "," 58,009 "," 61,438 "
217041479,Warrnambool - North," 44,509 "," 46,945 "," 48,855 "," 50,654 "," 52,518 "," 53,319 "," 58,438 "," 56,079 "," 58,422 "," 60,981 "
217041480,Warrnambool - South," 43,149 "," 45,726 "," 47,242 "," 49,080 "," 52,359 "," 54,442 "," 54,826 "," 58,145 "," 58,648 "," 62,234 "
