SA2,SA2 NAME,2016-17Median ($),2017-18Median ($),2018-19Median ($),2019-20Median ($),2020-21Median ($),2016-17Mean ($),2017-18Mean ($),2018-19Mean ($),2019-20Mean ($),2020-21Mean ($)
205021081,Bairnsdale," 40,810 "," 42,091 "," 43,540 "," 44,665 "," 46,698 "," 49,038 "," 48,823 "," 50,631 "," 52,194 "," 53,676 "
205021082,Bruthen - Omeo," 38,053 "," 38,409 "," 40,078 "," 41,805 "," 45,362 "," 46,404 "," 44,559 "," 44,500 "," 47,981 "," 51,050 "
205021083,Lake King, np , np , np , np , np , np , np , np , np , np 
205021084,Lakes Entrance," 34,233 "," 35,390 "," 36,991 "," 37,983 "," 39,346 "," 45,712 "," 44,304 "," 46,623 "," 48,545 "," 50,719 "
205021085,Orbost," 33,667 "," 35,600 "," 35,437 "," 38,041 "," 39,070 "," 47,249 "," 42,654 "," 43,625 "," 47,218 "," 46,764 "
205021086,Paynesville," 35,297 "," 36,444 "," 37,439 "," 37,891 "," 40,376 "," 46,885 "," 45,876 "," 47,889 "," 48,631 "," 51,438 "
205031087,Foster," 33,610 "," 34,854 "," 37,285 "," 39,276 "," 41,375 "," 46,244 "," 43,978 "," 47,050 "," 50,548 "," 51,807 "
205031088,French Island," 16,626 "," 18,177 "," 14,698 "," 21,302 "," 20,746 "," 29,023 "," 32,972 "," 19,619 "," 23,233 "," 27,326 "
205031089,Korumburra," 38,315 "," 41,642 "," 42,483 "," 44,768 "," 46,464 "," 48,281 "," 49,468 "," 49,905 "," 52,393 "," 54,997 "
205031090,Leongatha," 38,812 "," 40,948 "," 42,792 "," 44,669 "," 46,484 "," 50,370 "," 50,615 "," 53,337 "," 54,150 "," 56,074 "
205031091,Phillip Island," 35,401 "," 36,813 "," 38,038 "," 38,265 "," 41,004 "," 46,507 "," 46,388 "," 48,054 "," 49,289 "," 53,614 "
205031092,Wilsons Promontory," 48,196 "," 61,865 "," 70,131 "," 73,640 "," 57,595 "," 54,083 "," 71,862 "," 69,877 "," 85,352 "," 86,628 "
205031093,Wonthaggi - Inverloch," 36,148 "," 38,060 "," 39,884 "," 41,773 "," 43,811 "," 46,975 "," 47,385 "," 49,339 "," 51,207 "," 54,451 "
205041094,Churchill," 45,223 "," 46,847 "," 49,120 "," 49,079 "," 50,934 "," 60,945 "," 59,226 "," 60,619 "," 60,269 "," 62,710 "
205041095,Moe - Newborough," 42,269 "," 43,433 "," 46,041 "," 47,154 "," 48,328 "," 55,484 "," 54,092 "," 56,103 "," 56,175 "," 57,339 "
205041096,Morwell," 40,893 "," 42,558 "," 43,010 "," 43,803 "," 44,232 "," 52,351 "," 49,879 "," 50,932 "," 51,353 "," 52,004 "
205041098,Yallourn North - Glengarry," 47,598 "," 50,472 "," 51,768 "," 52,142 "," 54,569 "," 63,849 "," 62,677 "," 64,767 "," 64,590 "," 66,375 "
205041493,Traralgon - East," 48,361 "," 49,238 "," 50,765 "," 52,444 "," 53,555 "," 62,652 "," 62,128 "," 63,982 "," 64,676 "," 66,463 "
205041494,Traralgon - West," 51,596 "," 54,312 "," 56,094 "," 57,985 "," 59,637 "," 63,811 "," 65,291 "," 67,664 "," 68,695 "," 71,047 "
205051099,Alps - West," 26,350 "," 18,835 "," 25,376 "," 10,949 "," 23,479 "," 32,598 "," 26,560 "," 32,700 "," 23,541 "," 39,801 "
205051100,Longford - Loch Sport," 40,027 "," 40,507 "," 42,485 "," 44,934 "," 46,164 "," 56,821 "," 53,406 "," 55,163 "," 58,035 "," 59,401 "
205051101,Maffra," 41,750 "," 43,501 "," 44,993 "," 46,559 "," 48,323 "," 52,260 "," 52,154 "," 53,912 "," 55,194 "," 56,306 "
205051102,Rosedale," 40,503 "," 42,172 "," 41,947 "," 47,078 "," 48,952 "," 49,744 "," 50,212 "," 49,422 "," 53,399 "," 52,351 "
205051103,Sale," 44,839 "," 46,718 "," 49,010 "," 49,874 "," 51,232 "," 59,555 "," 59,517 "," 62,240 "," 62,598 "," 64,483 "
205051104,Yarram," 35,097 "," 38,003 "," 37,232 "," 38,845 "," 41,677 "," 45,335 "," 45,897 "," 48,413 "," 58,500 "," 55,847 "
206011106,Brunswick East," 54,478 "," 56,690 "," 59,822 "," 63,008 "," 67,960 "," 65,279 "," 67,536 "," 70,464 "," 73,762 "," 78,898 "
206011107,Brunswick West," 50,447 "," 52,890 "," 56,381 "," 57,450 "," 60,171 "," 62,956 "," 65,096 "," 69,495 "," 70,175 "," 73,396 "
206011109,Pascoe Vale South," 54,842 "," 56,576 "," 59,867 "," 61,738 "," 63,813 "," 66,977 "," 68,746 "," 72,778 "," 76,267 "," 77,371 "
206011495,Brunswick - North," 49,963 "," 51,989 "," 54,876 "," 57,380 "," 61,510 "," 62,419 "," 65,363 "," 66,616 "," 70,197 "," 75,663 "
206011496,Brunswick - South," 53,195 "," 56,892 "," 60,538 "," 63,139 "," 66,877 "," 65,324 "," 68,238 "," 71,001 "," 74,152 "," 78,418 "
206011497,Coburg - East," 49,250 "," 50,770 "," 53,715 "," 54,507 "," 57,540 "," 60,204 "," 60,965 "," 64,282 "," 66,883 "," 69,648 "
206011498,Coburg - West," 51,592 "," 53,766 "," 56,015 "," 57,836 "," 61,891 "," 63,811 "," 65,865 "," 68,370 "," 71,204 "," 76,096 "
206021110,Alphington - Fairfield," 57,147 "," 59,610 "," 61,806 "," 65,222 "," 68,391 "," 77,206 "," 79,358 "," 84,371 "," 87,578 "," 92,974 "
206021112,Thornbury," 53,080 "," 56,044 "," 59,278 "," 61,162 "," 64,577 "," 65,842 "," 67,965 "," 71,865 "," 74,256 "," 79,402 "
206021499,Northcote - East," 58,324 "," 60,954 "," 63,879 "," 66,254 "," 70,849 "," 77,001 "," 79,392 "," 83,551 "," 87,116 "," 92,867 "
206021500,Northcote - West," 58,454 "," 61,032 "," 64,538 "," 67,203 "," 70,882 "," 73,746 "," 77,610 "," 81,991 "," 85,156 "," 90,225 "
206031113,Ascot Vale," 57,622 "," 59,981 "," 61,854 "," 63,855 "," 67,266 "," 77,704 "," 77,930 "," 80,826 "," 84,146 "," 87,247 "
206031115,Flemington," 48,881 "," 51,553 "," 53,463 "," 55,880 "," 58,662 "," 62,270 "," 64,232 "," 67,193 "," 70,071 "," 74,245 "
206031116,Moonee Ponds," 59,466 "," 60,879 "," 62,722 "," 64,710 "," 67,877 "," 78,786 "," 80,292 "," 81,860 "," 85,629 "," 87,941 "
206031501,Essendon (West) - Aberfeldie," 56,005 "," 58,715 "," 60,890 "," 61,797 "," 64,802 "," 77,766 "," 80,819 "," 83,487 "," 84,237 "," 91,250 "
206031502,Essendon - East," 56,477 "," 59,717 "," 61,671 "," 63,480 "," 66,202 "," 78,009 "," 80,442 "," 81,009 "," 85,930 "," 90,746 "
206041117,Carlton," 36,697 "," 37,254 "," 38,891 "," 40,326 "," 40,122 "," 56,997 "," 57,175 "," 59,784 "," 60,955 "," 60,736 "
206041118,Docklands," 51,177 "," 54,047 "," 55,150 "," 58,307 "," 62,178 "," 69,225 "," 69,115 "," 71,540 "," 75,535 "," 78,910 "
206041119,East Melbourne," 69,469 "," 71,759 "," 75,755 "," 77,804 "," 81,648 "," 124,543 "," 128,433 "," 131,685 "," 135,500 "," 143,914 "
206041120,Flemington Racecourse," 60,511 "," 51,725 "," 55,538 "," 57,275 "," 56,014 "," 76,113 "," 61,485 "," 63,676 "," 65,871 "," 66,435 "
206041121,Kensington (Vic.)," 63,364 "," 65,563 "," 67,962 "," 70,336 "," 73,697 "," 74,497 "," 77,501 "," 80,960 "," 82,998 "," 86,415 "
