agent_name,agent_company,price,address1,address2,bed,bath,parking,floor_space,longitude,latitude
Alexandra Stamatiou-Buda,McGrath Leichhardt,Auction,"2 Lanark Avenue,",EARLWOOD NSW 2206,3 Beds,1 Bath,2 Parking,512m²,151.1228343,-33.9245862
Dean Phillips,McEwing Partners,"$2,375,000 - $2,575,000","21 Churchill Road,",MOUNT MARTHA VIC 3934,4 Beds,2 Baths,4 Parking,"1,931m²",144.9958707,-38.296365
Edward Thomas,Edward Thomas,"$1,000,000 - $1,100,000","17 Hardiman Street,",KENSINGTON VIC 3031,3 Beds,1 Bath,1 Parking,365m²,144.93218915,-37.795362749999995
Azrah Madden,Madden Estate Agents,Expressions of Interest,"37A Alexandra Street,",NORTH BOOVAL QLD 4304,2 Beds,1 Bath,− Parking,809m²,152.7926906,-27.6087898
Ben Olofsen,The Agency Southern Highlands,Contact Agent,"25 Faraday Street,",MITTAGONG NSW 2575,4 Beds,2 Baths,1 Parking,"1,261m²",150.441533,-34.4559508
Dean Pieroz,Ray White Alexandra Hills,BY NEGOTIATION,"17 Portias Place,",THORNLANDS QLD 4164,3 Beds,2 Baths,1 Parking,404m²,,
Dean Pieroz,Ray White Alexandra Hills,Offers Closing Monday 16th September,"95 Warriewood Street,",CHANDLER QLD 4155,3 Beds,1 Bath,1 Parking,"10,000m²",153.1630814,-27.5161109
Alexandra Meadth,Opes RE,Auction,"9 Limax Street,",BOX HILL NSW 2765,4 Beds,2 Baths,2 Parking,450m²,150.9015369,-33.6479973
Andrew Stefanovski,McGrath St George,"For sale $1,839,000","2/21 Robinson Street,",MONTEREY NSW 2217,3 Beds,2 Baths,2 Parking,197m²,151.1482085,-33.9704312
Brent Higgins,Ray White Mooloolaba,"$790,000","3/174 Alexandra Parade,",ALEXANDRA HEADLAND QLD 4572,2 Beds,2 Baths,2 Parking,84m²,153.1142377,-26.6750588
Monique Phillips,The Agency Southern Highlands,Contact Agent,"2-4 Beatrice Street,",MITTAGONG NSW 2575,3 Beds,1 Bath,2 Parking,"1,852m²",150.457301,-34.446321
Andrew Stefanovski,McGrath St George,"Auction guide $1,350,000","14 Maclaurin Street,",PENSHURST NSW 2222,3 Beds,1 Bath,− Parking,505m²,151.0947882,-33.9711284
Alexandra Stamatiou-Buda,McGrath Leichhardt,Auction,"73 Homer Street,",EARLWOOD NSW 2206,7 Beds,4 Baths,2 Parking,537m²,151.1263887,-33.9264893
Andrew Stefanovski,McGrath St George,"Auction guide $2,900,000","5 Mutch Avenue,",KYEEMAGH NSW 2216,6 Beds,3 Baths,2 Parking,461m²,151.1605073,-33.9486457
Alexandra Stamatiou-Buda,McGrath Leichhardt,Auction,"66 Minnamorra Avenue,",EARLWOOD NSW 2206,3 Beds,1 Bath,− Parking,467m²,151.1307281,-33.9291891
Alexandra Ahkey,Blackshaw Queanbeyan & Jerrabomberra,"$1,300,000-$1,350,000","297 Gorman Drive,",GOOGONG NSW 2620,5 Beds,3 Baths,5 Parking,770m²,149.2295365,-35.4215807
Adam  Kenyon,Marshall White Sorrento,"$2,355,000-$2,550,000","28 Alexandra Crescent,",RYE VIC 3941,4 Beds,3 Baths,15 Parking,"4,151m²",144.8352746,-38.3874206
James and Graeme Carmichael,LJ Hooker Property Centre,BY NEGOTIATION,"4 Knight Street,",ALEXANDRA HILLS QLD 4161,4 Beds,2 Baths,2 Parking,607m²,153.2269907,-27.5157681
Dean Pieroz,Ray White Alexandra Hills,By Negotiation,"11 Leyton Street,",BIRKDALE QLD 4159,3 Beds,1 Bath,1 Parking,708m²,153.2107456,-27.512131
Tarun Sethi,McGrath Strathfield,Auction,"100 Barker Road,",STRATHFIELD NSW 2135,7 Beds,5 Baths,10 Parking,"1,051m²",151.0796148,-33.8772056
Alexandra Rogers,Ray White Canberra,"Offers: $430,000+","94/121 Easty Street,",PHILLIP ACT 2606,1 Bed,1 Bath,1 Parking,"16,535m²",149.0893609,-35.3410517
Alexandra Rogers,Ray White Canberra,"Offers: $800,000+","6/48 Pearson Street,",HOLDER ACT 2611,2 Beds,2 Baths,1 Parking,"1,988m²",149.0498254,-35.3385482
Rajesh Setia,Setia Real Estate,"Guide $990,000 - $1,060,000","2 Alexandra Place,",GLENDENNING NSW 2761,3 Beds,1 Bath,2 Parking,500m²,150.8587466,-33.7456974
Andrew Stefanovski,McGrath St George,"Auction guide $1,300,000","15 Berrima Street,",HEATHCOTE NSW 2233,4 Beds,2 Baths,2 Parking,556m²,151.0028009,-34.0816441
Alexandra Stamatiou-Buda,McGrath Leichhardt,"Auction Guide $2,000,000","27 Warburton Parade,",EARLWOOD NSW 2206,4 Beds,2 Baths,3 Parking,442m²,151.1134383,-33.9242874
Wade Trask,Place Estate Agents Cleveland,Auction,"22 Kingston Avenue,",ALEXANDRA HILLS QLD 4161,5 Beds,3 Baths,2 Parking,617m²,153.223524,-27.5240697
James Davis,Blackshaw Queanbeyan & Jerrabomberra,"$675,000 - $700,000","203/189 Gorman Drive,",GOOGONG NSW 2620,3 Beds,2 Baths,2 Parking,155m²,149.2295365,-35.4215807
Alexandra Stamatiou-Buda,McGrath Leichhardt,"Auction Guide $1,500,000","57 Fore Street,",CANTERBURY NSW 2193,3 Beds,2 Baths,5 Parking,524m²,151.11815512108905,-33.9168535
Andrew Stefanovski,McGrath St George,"For sale $1,100,000 - $1,200,000","801/118 Princes Highway,",ARNCLIFFE NSW 2205,3 Beds,2 Baths,2 Parking,203m²,151.1495009,-33.9370688
Alexandra Diktakis,Stone Real Estate Newcastle,Under Contract,"30 Lovell Parade,",SHORTLAND NSW 2307,4 Beds,2 Baths,1 Parking,556m²,151.6932854,-32.8895461
Joseph Luppino,Village Real Estate,"$1,180,000 - $1,240,000","70 Coronation Street,",KINGSVILLE VIC 3012,3 Beds,2 Baths,1 Parking,275m²,144.88056847963952,-37.8091089
Joseph Allan,Village Real Estate,"$1,100,000 - $1,180,000","8 Austin Crescent East,",YARRAVILLE VIC 3013,3 Beds,1 Bath,2 Parking,440m²,144.87881775845744,-37.815487950000005
Courtney Lettieri,Village Real Estate,"$950,000 - $1,045,000","86 Blackwood Street,",YARRAVILLE VIC 3013,2 Beds,2 Baths,2 Parking,176m²,144.8850399,-37.8179472
Courtney Lettieri,Village Real Estate,"$1,000,000 - $1,100,000","36 Buninyong Street,",YARRAVILLE VIC 3013,2 Beds,1 Bath,1 Parking,243m²,144.8883366,-37.8184112
Marty Rankin,Reside Real Estate,"$2,270,000","3 Drew Street,",YARRAVILLE VIC 3013,3 Beds,2 Baths,2 Parking,446m²,144.87639362959607,-37.81670025
Adam Welling,Compton Green,"$1,650,000 - $1,700,000","102 Wales Street,",KINGSVILLE VIC 3012,4 Beds,2 Baths,1 Parking,369m²,144.87923628175395,-37.81116285
Terry Fitzpatrick,Reside Real Estate,"$1,425,000 - $1,525,000","21 Eirene Street,",YARRAVILLE VIC 3013,3 Beds,2 Baths,2 Parking,465m²,144.8799991,-37.8201014
Adam Welling,Compton Green,"$389,000","302/277-287 Barkly Street,",FOOTSCRAY VIC 3011,1 Bed,1 Bath,− Parking,"1,555m²",,
Mark de Brabander,The Agency Williamstown,"$1,550,000 - $1,700,000","2 Rippon Street,",FOOTSCRAY VIC 3011,4 Beds,3 Baths,2 Parking,466m²,144.8968065,-37.7916489
Jeff Begg,Jellis Craig Geelong,"$510,000 - $550,000","2/10 Philip Street,",MANIFOLD HEIGHTS VIC 3218,2 Beds,1 Bath,1 Parking,251m²,144.336644,-38.1333463
Nunzio Sulfaro,Nelson Alexander Ivanhoe,"Private Sale $625,000","1/33 Marie Avenue,",HEIDELBERG HEIGHTS VIC 3081,4 Beds,2 Baths,2 Parking,280m²,145.0496627,-37.737146
Kieran Bresnahan,McGrath Oatley,Price on Request,"29 Cliff Avenue,",PEAKHURST HEIGHTS NSW 2210,5 Beds,2 Baths,1 Parking,569m²,151.0517263,-33.9787297
James French,Buxton Chelsea,"$1,350,000-$1,450,000","45 Ella Grove,",CHELSEA VIC 3196,4 Beds,2 Baths,2 Parking,830m²,145.1181062,-38.0443731
Michael Bennett,Bennett Property NSW,FOR SALE,"1194c Bells Line Of Road,",KURRAJONG HEIGHTS NSW 2758,4 Beds,1 Bath,2 Parking,10.52ha,150.6372011,-33.5403757
Barry Wheeler,PRD Hobart,"Buyer Enquiry Guide $895,000 - $995,000","610 Baskerville Road,",OLD BEACH TAS 7017,4 Beds,2 Baths,11 Parking,"13,700m²",147.297603,-42.7674745
Lea Turner,Ray White Killcare,"Price Guide $1,650,000","7 MacDonald Street,",KILLCARE HEIGHTS NSW 2257,3 Beds,2 Baths,3 Parking,721m²,151.3736001,-33.5248529
Alyssa Earley,Ray White Sutherland Shire - Kirrawee,For Sale | Contact Agent,"95 David Road,",BARDEN RIDGE NSW 2234,4 Beds,2 Baths,2 Parking,633m²,151.0075429,-34.0316653
