Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
Matthew Swinnerton,Ray White Oakleigh,$940,"1/8 Oberon Avenue,",OAKLEIGH EAST VIC 3166,4 Beds,2 Baths,2 Parking,,melbourne-vic,,
Bradley Small,Beck & Small Property,$600.00,"6/11 Wando Grove,",ST KILDA EAST VIC 3183,2 Beds,1 Bath,2 Parking,,melbourne-vic,,
Melanie Jones,Jellis Craig Inner West,$580.00,"36 Duosa Road,",ALTONA NORTH VIC 3025,3 Beds,1 Bath,2 Parking,,melbourne-vic,-33.86482,151.20773
Maddy Stubbs,Wilson Glen Eira PTY LTD,$385 per week,"6/39 Southey Street,",ELWOOD VIC 3184,1 Bed,1 Bath,1 Parking,,melbourne-vic,,
Carolina  Hernandez,Gotham Property,$450,"1001/172 William Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,melbourne-vic,,
Kim Te,Motion Property,$500 per week,"903/4 Joseph Road,",FOOTSCRAY VIC 3011,1 Bed,1 Bath,1 Parking,,melbourne-vic,,
Michelle Murray,Buxton Real Estate Brighton,$990.00,"2/13 Hume Street,",BEAUMARIS VIC 3193,3 Beds,2 Baths,3 Parking,,melbourne-vic,42.52948,-83.78022
Dimitra Kerhoulas,Biggin Scott Elsternwick,$625 per week,"5/43 Shelley Street,",ELWOOD VIC 3184,2 Beds,1 Bath,− Parking,,melbourne-vic,-37.88441,145.00434
Adam Todisco,Buxton Camberwell,$485.00,"1/13 Clendon Road,",ARMADALE VIC 3143,1 Bed,1 Bath,− Parking,,melbourne-vic,-37.84205,145.0694
Debbie Davut,Kay & Burton Stonnington,$715 Per Week,"117/1 Albert Road,",MELBOURNE VIC 3000,1 Bed,1 Bath,1 Parking,,melbourne-vic,-37.8613,145.03776
Debbie Davut,Kay & Burton Stonnington,$750 Per Week,"108/250 St Kilda Road,",MELBOURNE VIC 3004,1 Bed,1 Bath,2 Parking,,melbourne-vic,-37.8613,145.03776
David Hua,Ray White Oakleigh,$490.00 per week,"3/218 Warrigal Road,",OAKLEIGH SOUTH VIC 3167,2 Beds,1 Bath,2 Parking,,melbourne-vic,,
Certainty  Property Vic,Certainty Property,$200,"2 Caspian Court,",NEWBOROUGH VIC 3825,1 Bed,1 Bath,− Parking,,melbourne-vic,,
Amelia Falvo,Marshall White Bayside,$910.00,"67A Sims Street,",SANDRINGHAM VIC 3191,3 Beds,2 Baths,2 Parking,,melbourne-vic,43.18056,-87.90064
Steven Biggins,RT Edgar Glen Eira,$900.00,"6/1a Ripley Grove,",CAULFIELD NORTH VIC 3161,3 Beds,2 Baths,2 Parking,,melbourne-vic,-37.89949,145.04099
Carnegie Leasing,Woodards Carnegie,$420 per week,"10/70 Grange Road,",CARNEGIE VIC 3163,1 Bed,1 Bath,1 Parking,,melbourne-vic,40.40868,-80.08339
Debbie Davut,Kay & Burton Stonnington,$725 Per Week,"141/1 Albert Road,",MELBOURNE VIC 3000,1 Bed,1 Bath,1 Parking,,melbourne-vic,-37.8613,145.03776
Megan Taylor,Kay & Burton Bayside,$2150 Per Week,"2B Connor Street,",BRIGHTON EAST VIC 3187,4 Beds,3 Baths,2 Parking,,melbourne-vic,43.18056,-87.90064
Marie Demiris,McGrath Northcote,$520 per week,"201/450 Bell Street,",PRESTON VIC 3072,2 Beds,2 Baths,1 Parking,,melbourne-vic,-37.76667,145.0
